unique_id	citing_ACL_id	citing_title	cited_title	cited_authors	section_title	citation_context	cite_context_paragraph	citation_object	citation_function	aclarc_label
CC1118	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	syntacticsemantic structures for textual entailment recognition	['Yashar Mehdad', 'Alessandro Moschitti', 'Fabio Massimo Zanzotto']	introduction	Cross-lingual Textual Entailment ( CLTE ) has been proposed by ( [CITED_AUTHOR] ) as an extension of Textual Entailment ( Dagan and Glickman , 2004 ) that consists in deciding , given two texts T and H in different languages , if the meaning of H can be inferred from the meaning of T .	['Cross-lingual Textual Entailment ( CLTE ) has been proposed by ( [CITED_AUTHOR] ) as an extension of Textual Entailment ( Dagan and Glickman , 2004 ) that consists in deciding , given two texts T and H in different languages , if the meaning of H can be inferred from the meaning of T .', 'The task is inherently difficult, as it adds issues related to the multilingual dimension to the complexity of semantic inference at the textual level.', 'For instance, the reliance of cur- rent monolingual TE systems on lexical resources (e.g. WordNet, VerbOcean, FrameNet) and deep processing components (e.g. syntactic and semantic parsers, co-reference resolution tools, temporal ex- pressions recognizers and normalizers) has to con- front, at the cross-lingual level, with the limited availability of lexical/semantic resources covering multiple languages, the limited coverage of the ex- isting ones, and the burden of integrating language- specific components into the same cross-lingual ar- chitecture.']	Performed Work	Contextualize	0
CC1119	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	syntacticsemantic structures for textual entailment recognition	['Yashar Mehdad', 'Alessandro Moschitti', 'Fabio Massimo Zanzotto']	introduction	Using the basic solution proposed by ( [CITED_AUTHOR] ) as a term of comparison , we experiment with different sources of multilingual lexical knowledge to address the following questions :	['This paper investigates the idea, still unexplored, of a tighter integration of MT and TE algorithms and techniques.', 'Our aim is to embed cross-lingual processing techniques inside the TE recognition process in order to avoid any dependency on external MT components, and eventually gain full control of the system�s behaviour.', 'Along this direction, we start from the acquisition and use of lexical knowl- edge, which represents the basic building block of any TE system.', 'Using the basic solution proposed by ( [CITED_AUTHOR] ) as a term of comparison , we experiment with different sources of multilingual lexical knowledge to address the following questions :']	Produced Resource	Evaluate Against	1
CC112	D11-1138	Training dependency parsers by jointly optimizing multiple objectives	using a dependency parser to improve smt for subjectobjectverb languages in	['P Xu', 'J Kang', 'M Ringgaard', 'F Och']	introduction	This includes work on question answering ( Wang et al. , 2007 ) , sentiment analysis ( Nakagawa et al. , 2010 ) , MT reordering ( [CITED_AUTHOR] ) , and many other tasks .	['The accuracy and speed of state-of-the-art dependency parsers has motivated a resumed interest in utilizing the output of parsing as an input to many downstream natural language processing tasks.', 'This includes work on question answering ( Wang et al. , 2007 ) , sentiment analysis ( Nakagawa et al. , 2010 ) , MT reordering ( [CITED_AUTHOR] ) , and many other tasks .', 'In most cases, the accuracy of parsers degrades when run on out-of-domain data (Gildea, 2001;McClosky et al., 2006;Blitzer et al., 2006;Petrov et al., 2010).', 'But these accuracies are measured with respect to gold-standard out-of-domain parse trees.', 'There are few tasks that actually depend on the complete parse tree.', 'Furthermore, when evaluated on a downstream task, often the optimal parse output has a model score lower than the best parse as predicted by the parsing model.', 'While this means that we are not properly modeling the downstream task in the parsers, it also means that there is some information from small task or domain-specific data sets which could help direct our search for optimal parameters during parser training.', 'The goal being not necessarily to obtain better parse performance, but to exploit the structure induced from human labeled treebank data while targeting specific extrinsic metrics of quality, which can include task specific metrics or external weak constraints on the parse structure.']	Performed Work	Contextualize	0
CC1120	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	a systematic comparison of various statistical alignment models	['Franz Josef Och', 'Hermann Ney']	method	We run TreeTagger ( Schmid , 1994 ) for tokenization , and used the Giza + + ( [CITED_AUTHOR] ) to align the tokenized corpora at the word level .	['Phrase tables (PHT) contain pairs of corresponding phrases in two languages, together with association probabilities.', 'They are widely used in MT as a way to figure out how to translate input in one language into output in another language (Koehn et al., 2003).', 'There are several methods to build phrase tables.', 'The one adopted in this work consists in learning phrase alignments from a word-aligned bilingual corpus.', 'In order to build English-Spanish phrase tables for our experiments, we used the freely available Europarl V.4, News Commentary and United Nations Spanish-English parallel corpora released for the WMT10 1 .', 'We run TreeTagger ( Schmid , 1994 ) for tokenization , and used the Giza + + ( [CITED_AUTHOR] ) to align the tokenized corpora at the word level .', 'Subsequently, we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit (Koehn et al., 2007).', 'Since the resulting phrase table was very large, we eliminated all the entries with identical content in the two languages, and the ones containing phrases longer than 5 words in one of the two sides.', 'In addition, in order to experiment with different phrase tables providing different degrees of coverage and precision, we extracted 7 phrase tables by pruning the initial one on the direct phrase translation probabilities of 0.01, 0.05, 0.1, 0.2, 0.3, 0.4 and 0.5.', 'The resulting 1 http://www.statmt.org/wmt10/', 'phrase tables range from 76 to 48 million entries, with an average of 3.9 words per phrase.']	Produced Resource	Use	5
CC1121	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	tracking and summarizing news on a daily basis with columbias newsblaster	['Kathleen R McKeown', 'Regina Barzilay', 'David Evans', 'Vasileios Hatzivassiloglou', 'Judith L Klavans', 'Ani Nenkova', 'Carl Sable', 'Barry Schiffman', 'Sergey Sigelman']	method	They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( [CITED_AUTHOR] ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( Dinu and Wang , 2009 ) .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( [CITED_AUTHOR] ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( Dinu and Wang , 2009 ) .', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus (Bannard and Callison-Burch, 2005).', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction, pruning techniques (Snover et al., 2009) can be applied to increase the precision of the extracted paraphrases.']	Discovery	Contextualize	4
CC1122	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	paraphrasing with bilingual parallel corpora	['Colin Bannard', 'Chris Callison-Burch']	introduction	Some previous works ( [CITED_AUTHOR] ; Zhao et al. , 2009 ; Kouylekov et al. , 2009 ) indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words .	['Despite the consensus on the usefulness of lexical knowledge for textual inference, determining the actual impact of these resources is not straightforward, as they always represent one component in complex architectures that may use them in different ways.', 'As emerges from the ablation tests reported in (Bentivogli et al., 2010), even the most common resources proved to have a positive impact on some systems and a negative impact on others.', 'Some previous works ( [CITED_AUTHOR] ; Zhao et al. , 2009 ; Kouylekov et al. , 2009 ) indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words .']	Discovery	Highlight Limitation	0
CC1123	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	making largescale support vector machine learning practical	['Thorsten Joachims']	method	To combine the phrasal matching scores obtained at each n-gram level , and optimize their relative weights , we trained a Support Vector Machine classifier , SVMlight ( [CITED_AUTHOR] ) , using each score as a feature .	['the lexical matches between pairs of phrases which have already been identified as exact matches are not considered. Once matching for each n-gram level has been concluded, the number of matches (Mn) and the number of phrases in the hypothesis (Nn) are used to estimate the portion of phrases in H that are matched at each level (n). The phrasal matching score for each n-gram level is calculated as follows: Mn \ufffdcoren = Nn', 'To combine the phrasal matching scores obtained at each n-gram level , and optimize their relative weights , we trained a Support Vector Machine classifier , SVMlight ( [CITED_AUTHOR] ) , using each score as a feature .']	Produced Resource	Use	5
CC1124	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	lexical selection and paraphrase in a meaning text generation model	['Lidija Iordanskaja', 'Richard Kittredge', 'Alain Polg re']	method	They proved to be useful in a number of NLP applications such as natural language generation ( [CITED_AUTHOR] ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( Dinu and Wang , 2009 ) .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation ( [CITED_AUTHOR] ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( Dinu and Wang , 2009 ) .', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus (Bannard and Callison-Burch, 2005).', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction, pruning techniques (Snover et al., 2009) can be applied to increase the precision of the extracted paraphrases.']	Discovery	Contextualize	4
CC1125	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	verbocean mining the web for finegrained semantic verb relations	['Timothy Chklovski', 'Patrick Pantel']	introduction	These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( [CITED_AUTHOR] ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .	['Besides WordNet, the RTE literature documents the use of a variety of lexical information sources (Bentivogli et al., 2010; Dagan et al., 2009).', 'These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( [CITED_AUTHOR] ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .', 'DIRT is a collection of sta- tistically learned inference rules, that is often inte- grated as a source of lexical paraphrases and entail- ment rules.', 'VerbOcean is a graph of fine-grained semantic relations between verbs, which are frequently used as a source of precise entailment rules between predicates.', 'FrameNet is a knowledge-base of frames describing prototypical situations, and the role of the participants they involve.', 'It can be used as an alternative source of entailment rules, or to determine the semantic overlap between texts and hypotheses.', 'Wikipedia is often used to extract probabilistic entailment rules based word similar- ity/relatedness scores.']	Produced Resource	Contextualize	0
CC1126	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	multiwordnet developing and aligned multilingual database	['Emanuele Pianta', 'Luisa Bentivogli', 'Christian Girardi']	introduction	Multilingual lexical databases aligned with the English WordNet ( e.g. MultiWordNet ( [CITED_AUTHOR] ) ) have been created for several languages , with different degrees of coverage .	['Addressing CLTE we have to face additional and more problematic issues related to: i) the stronger need of lexical knowledge, and ii) the limited availability of multilingual lexical resources.', 'As regards the first issue, it�s worth noting that in the monolingual scenario simple �bag of words� (or �bag of n- grams�) approaches are per se sufficient to achieve results above baseline.', 'In contrast, their application in the cross-lingual setting is not a viable solution due to the impossibility to perform direct lex- ical matches between texts and hypotheses in different languages.', 'This situation makes the availability of multilingual lexical knowledge a necessary condition to bridge the language gap.', 'However, with the only exceptions represented by WordNet and Wikipedia, most of the aforementioned resources are available only for English.', 'Multilingual lexical databases aligned with the English WordNet ( e.g. MultiWordNet ( [CITED_AUTHOR] ) ) have been created for several languages , with different degrees of coverage .', 'As an example, the 57,424 synsets of the Spanish section of MultiWordNet aligned to English cover just around 50% of the WordNet�s synsets, thus making the coverage issue even more problematic than for TE.', 'As regards Wikipedia, the cross- lingual links between pages in different languages offer a possibility to extract lexical knowledge useful for CLTE.', 'However, due to their relatively small number (especially for some languages), bilingual lexicons extracted from Wikipedia are still inadequate to provide acceptable coverage.', 'In addition, featuring a bias towards named entities, the information acquired through cross-lingual links can at most complement the lexical knowledge extracted from more generic multilingual resources (e.g bilingual dictionaries).']	Produced Resource	Contextualize	0
CC1127	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	inference rules and their application to recognizing textual entailment	['Georgiana Dinu', 'Rui Wang']	method	They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( [CITED_AUTHOR] ) .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( Denkowski and Lavie , 2010 ) , and TE ( [CITED_AUTHOR] ) .', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus (Bannard and Callison-Burch, 2005).', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction, pruning techniques (Snover et al., 2009) can be applied to increase the precision of the extracted paraphrases.']	Produced Resource	Contextualize	4
CC1128	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	paraphrasing with bilingual parallel corpora	['Colin Bannard', 'Chris Callison-Burch']	method	One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus ( [CITED_AUTHOR] ) .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation (Iordanskaja et al., 1991), multidocument summarization (McKeown et al., 2002), automatic evaluation of MT (Denkowski and Lavie, 2010), and TE (Dinu and Wang, 2009).', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus ( [CITED_AUTHOR] ) .', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction, pruning techniques (Snover et al., 2009) can be applied to increase the precision of the extracted paraphrases.']	Produced Resource	Contextualize	0
CC1129	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	syntacticsemantic structures for textual entailment recognition	['Yashar Mehdad', 'Alessandro Moschitti', 'Fabio Massimo Zanzotto']	introduction	These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( [CITED_AUTHOR] ; Kouylekov et al. , 2009 ) .	['Besides WordNet, the RTE literature documents the use of a variety of lexical information sources (Bentivogli et al., 2010;Dagan et al., 2009).', 'These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( [CITED_AUTHOR] ; Kouylekov et al. , 2009 ) .', 'DIRT is a collection of statistically learned inference rules, that is often integrated as a source of lexical paraphrases and entailment rules.', 'VerbOcean is a graph of fine-grained semantic relations between verbs, which are frequently used as a source of precise entailment rules between predicates.', 'FrameNet is a knowledge-base of frames describing prototypical situations, and the role of the participants they involve.', 'It can be used as an alternative source of entailment rules, or to determine the semantic overlap between texts and hypotheses.', 'Wikipedia is often used to extract probabilistic entailment rules based word similarity/relatedness scores.']	Produced Resource	Contextualize	0
CC113	D11-1138	Training dependency parsers by jointly optimizing multiple objectives	a tale of two parsers investigating and combining graphbased and transitionbased dependency parsing	['Y Zhang', 'S Clark']	experiments	• Transition-based: An implementation of the transition-based dependency parsing framework ( Nivre , 2008 ) using an arc-eager transition strategy and are trained using the perceptron algorithm as in [CITED_AUTHOR] with a beam size of 8 . Beams with varying sizes can be used to produce k-best lists.	['• Transition-based: An implementation of the transition-based dependency parsing framework ( Nivre , 2008 ) using an arc-eager transition strategy and are trained using the perceptron algorithm as in [CITED_AUTHOR] with a beam size of 8 . Beams with varying sizes can be used to produce k-best lists.', 'The features used by all models are: the part-ofspeech tags of the first four words on the buffer and of the top two words on the stack; the word identities of the first two words on the buffer and of the top word on the stack; the word identity of the syntactic head of the top word on the stack (if available); dependency arc label identities for the top word on the stack, the left and rightmost modifier of the top word on the stack, and the left most modifier of the first word in the buffer (if available).', 'All feature conjunctions are included.']	Produced Resource	Use	5
CC1130	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	probabilistic textual entailment generic applied modeling of language variability	['Ido Dagan', 'Oren Glickman']	introduction	Cross-lingual Textual Entailment ( CLTE ) has been proposed by ( Mehdad et al. , 2010 ) as an extension of Textual Entailment ( [CITED_AUTHOR] ) that consists in deciding , given two texts T and H in different languages , if the meaning of H can be inferred from the meaning of T .	['Cross-lingual Textual Entailment ( CLTE ) has been proposed by ( Mehdad et al. , 2010 ) as an extension of Textual Entailment ( [CITED_AUTHOR] ) that consists in deciding , given two texts T and H in different languages , if the meaning of H can be inferred from the meaning of T .', 'The task is inherently difficult, as it adds issues related to the multilingual dimension to the complexity of semantic inference at the textual level.', 'For instance, the reliance of cur- rent monolingual TE systems on lexical resources (e.g. WordNet, VerbOcean, FrameNet) and deep processing components (e.g. syntactic and semantic parsers, co-reference resolution tools, temporal expressions recognizers and normalizers) has to confront, at the cross-lingual level, with the limited availability of lexical/semantic resources covering multiple languages, the limited coverage of the existing ones, and the burden of integrating language- specific components into the same cross-lingual architecture.']	Produced Resource	Contextualize	0
CC1131	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	the berkeley framenet project	['Collin F Baker', 'Charles J Fillmore', 'John B Lowe']	introduction	These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( [CITED_AUTHOR] ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .	['Besides WordNet, the RTE literature documents the use of a variety of lexical information sources (Bentivogli et al., 2010; Dagan et al., 2009).', 'These include, just to mention the most popular ones , DIRT ( Lin and Pantel , 2001 ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( [CITED_AUTHOR] ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .', 'DIRT is a collection of statistically learned inference rules, that is often integrated as a source of lexical paraphrases and entailment rules.', 'VerbOcean is a graph of fine-grained semantic relations between verbs, which are frequently used as a source of precise entailment rules between predicates.', 'FrameNet is a knowledge-base of frames describing prototypical situations, and the role of the participants they involve.', 'It can be used as an alternative source of entailment rules, or to determine the semantic overlap between texts and hypotheses.', 'Wikipedia is often used to extract probabilistic entailment rules based word similarity/relatedness scores.']	Produced Resource	Contextualize	0
CC1132	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	fluency adequacy or hter exploring different human judgments with a tunable mt metric	['Matthew Snover', 'Nitin Madnani', 'Bonnie Dorr', 'Richard Schwartz']	method	After the extraction , pruning techniques ( [CITED_AUTHOR] ) can be applied to increase the precision of the extracted paraphrases .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation (Iordanskaja et al., 1991), multidocument summarization (McKeown et al., 2002), automatic evaluation of MT (Denkowski and Lavie, 2010), and TE (Dinu and Wang, 2009).', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus (Bannard and Callison-Burch, 2005).', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction , pruning techniques ( [CITED_AUTHOR] ) can be applied to increase the precision of the extracted paraphrases .']	Produced Resource	Contextualize	0
CC1133	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	extending the meteor machine translation evaluation metric to the phrase level	['Michael Denkowski', 'Alon Lavie']	method	They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( [CITED_AUTHOR] ) , and TE ( Dinu and Wang , 2009 ) .	['Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities.', 'They proved to be useful in a number of NLP applications such as natural language generation ( Iordanskaja et al. , 1991 ) , multidocument summarization ( McKeown et al. , 2002 ) , automatic evaluation of MT ( [CITED_AUTHOR] ) , and TE ( Dinu and Wang , 2009 ) .', 'One of the proposed methods to extract paraphrases relies on a pivot-based approach using phrase alignments in a bilingual parallel corpus (Bannard and Callison-Burch, 2005).', 'With this method, all the different phrases in one language that are aligned with the same phrase in the other language are extracted as paraphrases.', 'After the extraction, pruning techniques (Snover et al., 2009) can be applied to increase the precision of the extracted paraphrases.']	Performed Work	Contextualize	4
CC1134	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	extracting paraphrase patterns from bilingual parallel corpora	['Shiqi Zhao', 'Haifeng Wang', 'Ting Liu', 'Sheng Li']	introduction	Some previous works ( Bannard and Callison-Burch , 2005 ; [CITED_AUTHOR] ; Kouylekov et al. , 2009 ) indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words .	['Despite the consensus on the usefulness of lexical knowledge for textual inference, determining the actual impact of these resources is not straightforward, as they always represent one component in complex architectures that may use them in different ways.', 'As emerges from the ablation tests reported in (Bentivogli et al., 2010), even the most common resources proved to have a positive impact on some systems and a negative impact on others.', 'Some previous works ( Bannard and Callison-Burch , 2005 ; [CITED_AUTHOR] ; Kouylekov et al. , 2009 ) indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words .']	Discovery	Highlight Limitation	0
CC1135	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	syntacticsemantic structures for textual entailment recognition	['Yashar Mehdad', 'Alessandro Moschitti', 'Fabio Massimo Zanzotto']	experiments	For the sake of completeness , we report in this section also the results obtained adopting the `` basic solution '' proposed by ( [CITED_AUTHOR] ) .	["For the sake of completeness , we report in this section also the results obtained adopting the `` basic solution '' proposed by ( [CITED_AUTHOR] ) .", 'Although it was presented as an approach to CLTE, the proposed method brings the problem back to the monolingual case by translating H into the language of T. The comparison with this method aims at verifying the real potential of parallel corpora against the use of a competitive MT system (Google Translate) in the same scenario.']	Produced Resource	Evaluate Against	1
CC1136	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	a syntaxbased statistical translation model	['Kenji Yamada', 'Kevin Knight']	conclusion	One possible direction is to consider linguistically motivated approaches , such as the extraction of syntactic phrase tables as proposed by ( [CITED_AUTHOR] ) .	['Our future work will address both the extraction of lexical information from bilingual parallel corpora, and its use for TE and CLTE.', 'On one side, we plan to explore alternative ways to build phrase and paraphrase tables.', 'One possible direction is to consider linguistically motivated approaches , such as the extraction of syntactic phrase tables as proposed by ( [CITED_AUTHOR] ) .', 'Another interesting direction is to investigate the potential of paraphrase patterns (i.e.', 'patterns including partof-speech slots), extracted from bilingual parallel corpora with the method proposed by (Zhao et al., 2009).', 'On the other side we will investigate more sophisticated methods to exploit the acquired lexical knowledge.', 'As a first step, the probability scores assigned to phrasal entries will be considered to perform weighted phrase matching as an improved criterion to approximate entailment.', '1343']	Produced Resource	Signal Gap	3
CC1137	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	jlsi a tool for latent semantic indexing software available at httptccitcitresearchtextectoolsresourcesjlsihtml	['Claudio Giuliano']	experiments	We performed Latent Semantic Analysis ( LSA ) over Wikipedia using the jLSI tool ( [CITED_AUTHOR] ) to measure the relatedness between words in the dataset .	['Wikipedia (WIKI).', 'We performed Latent Semantic Analysis ( LSA ) over Wikipedia using the jLSI tool ( [CITED_AUTHOR] ) to measure the relatedness between words in the dataset .', 'Then, we filtered all the pairs with similarity lower than 0.7 as proposed by (Kouylekov et al., 2009).', 'In this way we obtained 13760 word pairs.']	Produced Resource	Use	5
CC1138	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	syntacticsemantic structures for textual entailment recognition	['Yashar Mehdad', 'Alessandro Moschitti', 'Fabio Massimo Zanzotto']	experiments	Second , in line with the findings of ( [CITED_AUTHOR] ) , the results obtained over the MT-derived corpus are equal to those we achieve over the original RTE3 dataset ( i.e. 63.50 % ) .	['The comparison with the results achieved on monolingual data obtained by automatically translating the Spanish hypotheses (RTE3-G row in Table 2) leads to four main observations.', 'First, we notice that dealing with MT-derived inputs, the optimal pruning threshold changes from 0.2 to 0.1, leading to the highest accuracy of 63.50%.', 'This suggests that the noise introduced by incorrect translations can be tackled by increasing the coverage of the paraphrase table.', 'Second , in line with the findings of ( [CITED_AUTHOR] ) , the results obtained over the MT-derived corpus are equal to those we achieve over the original RTE3 dataset ( i.e. 63.50 % ) .', '63.50%).', 'Third, the accuracy obtained over the CLTE corpus using combined phrase and paraphrase tables (62.88%, as reported in Table 1) is comparable to the best result gained over the automatically translated dataset (63.50%).', 'In all the other cases, the use of phrase and paraphrase tables on CLTE data outperforms the results achieved on the same data after translation.', "Finally, it's worth remarking that applying our phrase matching method on the translated dataset without any additional source of knowledge would result in an overall accuracy of 62.12%, which is lower than the result obtained using only phrase tables on cross-lingual data (62.62%).", 'This demonstrates that phrase tables can successfully replace MT systems in the CLTE task.']	Discovery	Contextualize	1
CC1139	P11-1134	Optimizing textual entailment recognition using particle swarm optimization	moses open source toolkit for statistical machine translation	['Philipp Koehn', 'Hieu Hoang', 'Alexandra Birch', 'Chris Callison-Burch', 'Marcello Federico', 'Nicola Bertoldi', 'Brooke Cowan', 'Wade Shen']	method	Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( [CITED_AUTHOR] ) .	['Phrase tables (PHT) contain pairs of corresponding phrases in two languages, together with association probabilities.', 'They are widely used in MT as a way to figure out how to translate input in one language into output in another language (Koehn et al., 2003).', 'There are several methods to build phrase tables.', 'The one adopted in this work consists in learning phrase alignments from a word-aligned bilingual corpus.', 'In order to build English-Spanish phrase tables for our experiments, we used the freely available Europarl V.4, News Commentary and United Nations Spanish-English parallel corpora released for the WMT10 1 .', 'We run TreeTagger (Schmid, 1994) for tokenization, and used the Giza++ (Och and Ney, 2003) to align the tokenized corpora at the word level.', 'Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( [CITED_AUTHOR] ) .', 'Since the resulting phrase table was very large, we eliminated all the entries with identical content in the two languages, and the ones containing phrases longer than 5 words in one of the two sides.', 'In addition, in order to experiment with different phrase tables providing different degrees of coverage and precision, we extracted 7 phrase tables by pruning the initial one on the direct phrase translation probabilities of 0.01, 0.05, 0.1, 0.2, 0.3, 0.4 and 0.5.', 'The resulting 1 http://www.statmt.org/wmt10/', 'phrase tables range from 76 to 48 million entries, with an average of 3.9 words per phrase.']	Produced Resource	Use	5
CC114	D11-1138	Training dependency parsers by jointly optimizing multiple objectives	domain adaptation with structural correspondence learning	['J Blitzer', 'R McDonald', 'F Pereira']	introduction	In most cases , the accuracy of parsers degrades when run on out-of-domain data ( Gildea , 2001 ; McClosky et al. , 2006 ; [CITED_AUTHOR] ; Petrov et al. , 2010 ) .	['The accuracy and speed of state-of-the-art dependency parsers has motivated a resumed interest in utilizing the output of parsing as an input to many downstream natural language processing tasks.', 'This includes work on question answering (Wang et al., 2007), sentiment analysis (Nakagawa et al., 2010), MT reordering (Xu et al., 2009), and many other tasks.', 'In most cases , the accuracy of parsers degrades when run on out-of-domain data ( Gildea , 2001 ; McClosky et al. , 2006 ; [CITED_AUTHOR] ; Petrov et al. , 2010 ) .', 'But these accuracies are measured with respect to gold-standard out-of-domain parse trees.', 'There are few tasks that actually depend on the complete parse tree.', 'Furthermore, when evaluated on a downstream task, often the optimal parse output has a model score lower than the best parse as predicted by the parsing model.', 'While this means that we are not properly modeling the downstream task in the parsers, it also means that there is some information from small task or domain-specific data sets which could help direct our search for optimal parameters during parser training.', 'The goal being not necessarily to obtain better parse performance, but to exploit the structure induced from human labeled treebank data while targeting specific extrinsic metrics of quality, which can include task specific metrics or external weak constraints on the parse structure.']	Discovery	Contextualize	0
